super_opeid,name,czname,state,par_median,k_median,par_q1,par_top1pc,kq5_cond_parq1,ktop1pc_cond_parq1,mr_kq5_pq1,mr_ktop1_pq1,trend_parq1,trend_bottom40,count
1154,San Francisco State University,San Francisco,CA,87200,45800,10.07141,1.2867942,34.707272,1.4307158,3.4955118,0.14409326,-1.4603801,-5.3017588,1854.666667
1119,Barstow Community College,Los Angeles,CA,58000,28700,18.924633,0.083232775,18.435741,0,3.4888964,0,7.3264995,7.5571246,478
2760,Manhattanville College,New York,NY,95400,48900,8.4173412,3.2543461,41.392406,1.432421,3.4841399,0.12057175,1.4498948,3.5959303,295.6666667
1479,Embry-Riddle Aeronautical University,Deltona,FL,92400,65600,7.2243505,1.4424953,48.158756,1.3296512,3.4791574,0.096058659,1.6937146,0.60270315,1401.666667
2837,State University Of New York At Buffalo,Buffalo,NY,95300,52700,8.1726017,0.59959221,42.464649,2.4677064,3.4704666,0.2016758,-0.65125132,-2.1823547,2814
3046,Franklin University,Columbus,OH,65800,40100,13.459418,0.30125949,25.74876,1.9979907,3.4656334,0.26891792,6.8870692,10.334783,125
2044,Maine Maritime Academy,Bangor,ME,85300,75900,7.5922794,0.58829129,45.608269,9.1369867,3.4627073,0.69370556,-1.4702493,-7.6896234,145.6666667
1269,Rio Hondo Community College,Los Angeles,CA,46500,32400,22.689423,0.11222608,15.256782,0.19921581,3.4616756,0.045200918,-5.2914119,-7.7975879,1545.333333
2708,Barnard College,New York,NY,148000,56300,6.5402598,12.618666,52.820206,6.6375942,3.4545786,0.43411589,0.09027084,-1.8497171,535.3333333
3630,Prairie View Agricultural & Mechanical University,Houston,TX,45500,34800,21.610006,0.000534754,15.979915,0.26257074,3.4532607,0.056741554,-2.9901295,-1.2971228,1167.333333
5488,Capital Area Technical College,Baton Rouge,LA,44300,24600,28.281466,0.16686372,12.203152,0.12213817,3.45123,0.034542464,-2.1542945,-2.4522591,2398
1852,Clarke University,Dubuque,IA,75700,45100,7.0276628,0.9949823,49.030472,0.1282458,3.4456961,0.009012683,-5.8489299,-7.9696507,160
3765,Norfolk State University,Virginia Beach,VA,48000,34400,20.608868,0.018557239,16.711349,0,3.44402,0,-5.8426571,-7.4083543,979.3333333
3724,Marymount University,Washington DC,VA,91800,47000,9.5781384,3.2237549,35.877098,0,3.436358,0,-2.9211915,-7.101263,245
3764,Virginia State University,Richmond,VA,52200,35900,19.235935,0.15952259,17.847628,0.24121512,3.4331579,0.046399985,-3.5885193,-5.9752369,803.3333333
1605,Chaminade University Of Honolulu,Honolulu,HI,66600,38100,15.715286,0.48551905,21.801208,0,3.4261222,0,-4.4110441,-8.1548491,275.6666667
2622,Kean University,Newark,NJ,79200,46900,11.098741,0.18792887,30.801348,0.29835916,3.4185619,0.033114109,-1.3501241,-2.6568689,1032.333333
3554,Clarendon College,Memphis,TX,50800,28300,20.852247,0.071047612,16.393827,0,3.4184813,0,-6.5521531,-11.670352,184
3642,Texas Southern University,Houston,TX,36300,27700,30.844814,0.003012975,11.051506,0.1973666,3.4088163,0.06087736,-4.6179814,-5.4149718,1115.666667
1933,McPherson College,Newton,KS,70000,37200,11.640731,0.60948086,29.281271,0,3.4085538,0,-4.4835062,-9.7715197,101.3333333
2178,Massachusetts Institute Of Technology,Boston,MA,141000,98500,5.1078739,7.0637131,66.528679,13.407938,3.398201,0.68486053,0.88440043,1.3737836,913.3333333
32603,"California State University, Monterey Bay",San Jose,CA,93200,41100,10.497926,1.3763506,32.266464,0.98564905,3.3873096,0.10347271,-3.4088585,-7.2467537,322.6666667
1309,Taft College,Bakersfield,CA,62300,32300,16.317604,0.097908512,20.628342,0.02600652,3.3660512,0.004243641,-1.4216692,-3.0739403,153.5
4,Coast Community College District,Los Angeles,CA,72800,30600,16.203936,1.0915638,20.759323,0.2698077,3.3638272,0.043719463,-2.1452432,-1.341159,5334.666667
